PageLink,EventName,EventType,EventTypeId,Country,City,ContinentCode,Subcontinent,StartDateTime,EndDateTime,Tags,EventCode,Comments,EventDateChangeId,EventId,FromStartDate,FromEndDate,ToStartDate,ToEndDate,ShowInCalendar,Type,Event_Tier_Name
,Pan American Veteran Championships,Continental,36,TBD,,oceania,australasia,2021-11-30T00:00:00,2021-11-30T00:00:00,,21027,,172.0,2235,2021-11-30T00:00:00,2021-11-30T00:00:00,,,True,Dates TBD,
,Asian Olympic Qualification Tournament,Olympic Qualification,47,Qatar,Doha ,asia,west asia,2021-03-18T00:00:00,2021-03-20T00:00:00,,0,,,2275,,,,,,,
,2021 European Olympic Singles Qualification Tournament,Olympic Qualification,47,Portugal,Guimaraes ,europe,southern europe,2021-04-21T00:00:00,2021-04-25T00:00:00,,0,,87.0,2276,2021-02-10T00:00:00,2021-02-14T00:00:00,2021-04-21T00:00:00,2021-04-25T00:00:00,True,Postponed,
,Central American Youth Championships (U15 & U19),Junior & Cadet Championships,13,Guatemala,Guatemala City ,americas,central america,2021-04-20T00:00:00,2021-04-24T00:00:00,,0,,,2344,,,,,,,
,Tokyo 2020 Olympic Games,Olympic Games,38,Japan,Tokyo ,asia,east asia,2021-07-23T00:00:00,2021-08-08T00:00:00,,0,,,2345,,,,,,,
,Tokyo 2020 Olympic Games,Olympic Games,38,Japan,Tokyo ,asia,east asia,2021-07-23T00:00:00,2021-08-08T00:00:00,,0,,,2345,,,,,,,
,Tokyo 2020 Olympic Games,Olympic Games,38,Japan,Tokyo ,asia,east asia,2021-07-23T00:00:00,2021-08-08T00:00:00,,0,,,2345,,,,,,,
,2021 World Table Tennis Championships Finals,WTTC,37,USA,Houston,americas,northern america,2021-11-23T00:00:00,2021-11-29T00:00:00,,0,,,2346,,,,,,,
,WTT Contender Doha 2021,WTT Contender,34,Qatar,Doha,asia,west asia,2021-02-28T11:30:00,2021-03-06T23:59:59,"wtt2021,doha",0,,,2410,,,,,,,WTT Series
,WTT Star Contender Doha 2021,WTT Star Contender,35,Qatar,Doha,asia,west asia,2021-03-05T19:30:00,2021-03-13T23:59:00,"wtt2021,doha",0,,,2411,,,,,,,WTT Series
,ITTF Para XVIII Copa Tango,Para Open,54,Argentina,Buenos Aires ,americas,south america,2021-11-19T00:00:00,2021-11-21T00:00:00,,0,,,2412,,,,,,,
,WTT Youth Contender Darwin 2021,WTT Youth Contender,69,Australia,Darwin ,oceania,australasia,2021-09-27T00:00:00,2021-10-03T00:00:00,,0,,164.0,2413,2021-09-27T00:00:00,2021-10-03T00:00:00,,,True,Cancelled,WTT Youth Series
,2021 European Under 21 Championships,Youth Championships,33,Belgium,SPA ,europe,western europe,2021-11-11T00:00:00,2021-11-14T00:00:00,,5334,,,2414,,,,,,,
,WTT Youth Contender Abidjan 2021,WTT Youth Contender,69,Cote d'Ivoire,Abidjan,africa,west africa,2021-08-23T00:00:00,2021-08-29T00:00:00,,0,,159.0,2418,2021-08-23T00:00:00,2021-08-29T00:00:00,,,True,Cancelled,WTT Youth Series
,WTT Youth Contender San Jose 2021,WTT Youth Contender,69,Costa Rica,San Jose,americas,central america,2021-08-16T00:00:00,2021-08-22T00:00:00,,0,,158.0,2419,2021-08-16T00:00:00,2021-08-22T00:00:00,,,True,Cancelled,WTT Youth Series
,ITTF Copa Costa Rica 2021,Special Games,25,Costa Rica,San José de Costa Rica ,americas,central america,2021-12-10T00:00:00,2021-12-12T00:00:00,,0,,,2420,,,,,,,
