PageLink,EventName,EventType,EventTypeId,Country,City,ContinentCode,Subcontinent,StartDateTime,EndDateTime,Tags,EventCode,Comments,EventDateChangeId,EventId,FromStartDate,FromEndDate,ToStartDate,ToEndDate,ShowInCalendar,Type,Event_Tier_Name
,ITTF-Oceania Senior Championships,Continental Championships,79,Australia,Melbourne,oceania,australasia,2022-09-05T00:00:00,2022-09-10T00:00:00,,,,,2615,,,,,,,
,ITTF-Oceania Youth Championships,Youth Continental Championships,87,Australia,Melbourne,oceania,australasia,2022-09-05T00:00:00,2022-09-10T00:00:00,,,,,2616,,,,,,,
,2022 European Championships,Continental Championships,79,Germany,Munich,europe,western europe,2022-08-13T00:00:00,2022-08-21T00:00:00,,5440,,,2617,,,,,,,
,WTT Champions Macao 2022 Presented by Galaxy Entertainment Group,WTT Champions,65,"Macao, China",Macao,asia,east asia,2022-10-19T00:00:00,2022-10-23T00:00:00,,,,,2619,,,,,,,WTT Series
,2022 Pan American Championships U15,Youth Continental Championships,87,Ecuador,Cuenca,americas,south america,2022-08-23T00:00:00,2022-08-28T00:00:00,,5415,,,2625,,,,,,,
,WTT Cup Finals Xinxiang 2022 Presented by China Construction Bank,WTT Cup Finals,91,China,Xinxiang,asia,east asia,2022-10-27T00:00:00,2022-10-30T00:00:00,,,,,2627,,,,,,,WTT Series
,WTT Feeder Fort Lauderdale 2022,WTT Feeder,81,USA,Fort Lauderdale,americas,northern america,2022-12-11T00:00:00,2022-12-14T00:00:00,,,,,2630,,,,,,,WTT Feeder Series
,WTT Feeder Düsseldorf III 2022,WTT Feeder,81,Germany,Düsseldorf,europe,western europe,2022-11-22T00:00:00,2022-11-25T00:00:00,,,,,2658,,,,,,,WTT Feeder Series
,2022 ITTF-Oceania Cup,Continental Cups,82,Papua New Guinea,Port Moresby,oceania,melanesia,2022-12-17T00:00:00,2022-12-18T23:00:00,,,,,2670,,,,,,,
,2022 Pacific Cup,Continental Cups,82,Papua New Guinea,Port Moresby,oceania,melanesia,2022-12-17T00:00:00,2022-12-18T23:00:00,,,,,2707,,,,,,,
,2022 - Central American Championships,Continental Championships,79,Guatemala,Guatemala City,americas,central america,2022-05-03T00:00:00,2022-05-08T00:00:00,,5399,,,2783,,,,,,,
https://asia.ittf.com/pages/29/2022%20asian%20cup_3880,33rd ITTF-ATTU Asian Cup 2022,Continental Cups,82,Thailand,,asia,south east asia,2022-11-17T00:00:00,2022-11-19T00:00:00,,,,,2974,,,,,,,
