eventId,BallSponsor,TableSponsor,EventName
2724,Double Fish,Joola,WTT Feeder Olomouc 2023
2728,Double Fish,DHS,WTT Champions Macao 2023 Presented by Galaxy Entertainment Group
2732,Double Fish,Stag,WTT Feeder Biella 2023
2733,Double Fish,Tibhar,WTT Feeder Otocec 2023 presented by I Feel Slovenia
2734,Double Fish,Stag,WTT Feeder Doha II 2023
2735,Double Fish,Butterfly,WTT Feeder Vila Nova de Gaia 2023
2737,DHS,Double Fish,WTT Champions Xinxiang 2023 Presented by Industrial and Commercial Bank of China
2738,Double Fish,Stiga,WTT Feeder Stockholm 2023
2739,DHS,Butterfly,WTT Contender Almaty 2023
2740,Double Fish,Yinhe,WTT Feeder Bangkok 2023
2742,DHS,Butterfly,WTT Contender Antalya 2023
2745,,Butterfly,ITTF Africa Cup (May 2023)
2750,Double Fish,Joola,WTT Feeder Havirov 2023
2751,Butterfly,DHS,ITTF World Team Table Tennis Championships Finals Busan 2024 Presented by BNK Busan Bank
2755,Double Fish,Donic,WTT Feeder Düsseldorf III 2023
2775,DHS,Stag,WTT Contender Muscat 2023
2776,DHS,Double Fish,WTT Finals Women Nagoya 2023
2777,DHS,Stiga,WTT Star Contender Lanzhou 2023 Presented by Huanchen Sports
2787,,Butterfly,2023 ITTF-Africa Senior Championships
2789,,Stag,2023 ITTF Pan American Championships
2794,DHS,Stiga,WTT Contender Taiyuan 2023
2860,Ownwin,DHS,ITTF Mixed Team World Cup 2023
2861,DHS,Yinhe,WTT Contender Doha 2024
2862,DHS,DHS,WTT Star Contender Doha 2024
2863,DHS,Stiga,WTT Star Contender Goa 2024
2865,DHS,Stiga,WTT Contender Taiyuan 2024
2866,DHS,DHS,WTT Finals Men Doha 2023
2867,DHS,Tibhar,WTT Contender Rio de Janeiro 2024
2868,DHS,Butterfly,WTT Contender Lagos 2024
2869,DHS,Tibhar,WTT Contender Zagreb 2024
2870,DHS,Tibhar,WTT Star Contender Ljubljana 2024 Presented by I Feel Slovenia
2871,DHS,DHS,WTT Contender Tunis 2024 Presented by KIA
2872,DHS,Donic,WTT Contender Lima 2024
2873,DHS,Butterfly,WTT Contender Almaty 2024
2877,DHS,Double Fish,WTT Champions Frankfurt 2024
2878,Double Fish,Butterfly,WTT Feeder Corpus Christi 2024
2879,Double Fish,Butterfly,WTT Feeder Manchester 2024
2880,Double Fish,Tibhar,WTT Feeder Otocec 2024 Presented by I Feel Slovenia
2881,Double Fish,Andro,WTT Feeder Düsseldorf 2024
2882,Double Fish,Tibhar,WTT Feeder Varazdin 2024
2883,Double Fish,Joola,WTT Feeder Havirov 2024
2884,Double Fish,Joola,WTT Feeder Olomouc 2024
2885,Double Fish,DHS,WTT Feeder Panagyurishte 2024 Presented by Asarel
2886,Double Fish,Stiga,WTT Feeder Halmstad 2024
2887,Double Fish,Stag,WTT Feeder Doha 2024
2889,Double Fish,Stag,WTT Feeder Cagliari 2024
2890,Double Fish,Andro,WTT Feeder Düsseldorf II 2024
2891,Double Fish,Butterfly,WTT Feeder Vila Nova de Gaia 2024
2893,Double Fish,Stag,WTT Feeder Beirut 2024
2894,Double Fish,Stag,WTT Feeder Beirut II 2024
2899,DHS,Double Fish,WTT Champions Incheon 2024 Presented by Shinhan Bank
2900,DHS,Yinhe,WTT Star Contender Bangkok 2024
2904,Yinhe,DHS,Singapore Smash 2024
2905,,DHS,2023 Pacific Cup
2911,Double Fish,Butterfly,WTT Feeder Cappadocia 2024
2912,Double Fish,DHS,WTT Feeder Caracas 2024
2915,,Stag,2024 ITTF-Oceania Olympic Singles Qualification
2916,,Stag,2024 ITTF-Oceania Cup
2917,,Butterfly,ITTF-Oceania Senior Championships 2024
2932,Double Fish,DHS,Saudi Smash 2024
2934,DHS,Double Fish,WTT Contender Mendoza 2024
2937,,DHS,ITTF MEN'S AND WOMEN'S WORLD CUP MACAO 2024 PRESENTED BY GALAXY ENTERTAINMENT GROUP
2940,Tibhar,Tibhar,WTT Champions Montpellier 2024
2941,Double Fish,DHS,WTT Champions Chongqing 2024 Presented by Changan
2942,Double Fish,DHS,China Smash 2024 Presented by Zhonghui Life
2947,DHS,Double Fish,WTT Finals Fukuoka 2024
2959,,Stag,2024 Pacific Cup
2964,Double Fish,Stag,WTT Feeder Prishtina 2024
2965,Double Fish,Stag,WTT Feeder Muscat 2024
2979,Ownwin,DHS,ITTF Mixed Team World Cup Chengdu 2024 presented by CHINA TELECOM
2983,Double Fish,DHS,WTT Champions Macao 2024 Presented by Galaxy Entertainment Group
2997,DHS,Stag,WTT Contender Muscat 2024
3020,Yinhe,Donic,WTT Feeder Düsseldorf 2025
3023,Yinhe,Butterfly,WTT Feeder Manchester 2025
3024,Yinhe,Tibhar,WTT Feeder Otocec 2025 Presented by I Feel Slovenia 
3025,Yinhe,Tibhar,WTT Feeder Otocec II 2025 Presented by I Feel Slovenia 
3026,Yinhe,Stag,WTT Feeder Doha 2025
3027,Yinhe,DHS,WTT Feeder Panagyurishte 2025 Presented by Asarel
3028,Yinhe,Joola,WTT Feeder Olomouc 2025
3030,Yinhe,Butterfly,WTT Feeder Cappadocia 2025
3031,Yinhe,Butterfly,WTT Feeder Cappadocia II 2025
3058,Yinhe,Stag,WTT Feeder Prishtina 2025
3065,Yinhe,Donic,WTT Feeder Düsseldorf II 2025
3066,,Butterfly,WTT Feeder Vila Nova de Gaia 2025
3069,Yinhe,Joola,WTT Feeder Havirov 2025
3082,DHS,Joola,United States Smash 2025
3083,DHS,Stag,WTT Star Contender Doha 2025
3084,DHS,Stag,WTT Contender Muscat 2025
3085,Yinhe,DHS,Singapore Smash 2025
3086,Double Fish,DHS,WTT Champions Chongqing 2025 Presented by AITO
3087,Yinhe,DHS,WTT Champions Incheon 2025
3088,DHS,Stiga,WTT Contender Taiyuan 2025
3089,DHS,Stag,WTT Contender Tunis 2025 Presented By Tunisie Telecom
3090,DHS,Tibhar,WTT Contender Skopje 2025
3091,DHS,Tibhar,WTT Star Contender Ljubljana 2025 Presented by I Feel Slovenia
3092,DHS,Tibhar,WTT Contender Zagreb 2025
3093,DHS,Tibhar,WTT Star Contender Foz do Iguaçu 2025
3094,Nittaku,Nittaku,WTT Champions Yokohama 2025
3096,DHS,Butterfly,WTT Contender Almaty 2025
3097,Double Fish,DHS,WTT Champions Macao 2025 Presented by Galaxy Entertainment Group
3098,Double Fish,DHS,China Smash 2025 Presented by Beijing Shijingshan Culture & Tourism Group
3099,Tibhar,Tibhar,WTT Champions Montpellier 2025
3100,DHS,Donic,WTT Champions Frankfurt 2025
3108,Butterfly,DHS,ITTF World Table Tennis Championships Finals Doha 2025
3109,,DHS,ITTF MEN'S AND WOMEN'S WORLD CUP MACAO 2025 PRESENTED BY GALAXY ENTERTAINMENT GROUP
3110,DHS,Donic,WTT Star Contender London 2025
3121,DHS,Butterfly,WTT Contender Lagos 2025
3128,DHS,Double Fish,Europe Smash - Sweden 2025
3131,Yinhe,Yinhe,WTT Feeder Vientiane 2025 Presented by ICBC Bank
3133,DHS,Stiga,WTT Star Contender Chennai 2025 Presented by IndianOil
3175,DHS,Double Fish,WTT Contender Buenos Aires 2025
3176,DHS, Butterfly,WTT Star Contender Muscat 2025
3177,Double Fish,Butterfly,WTT Feeder Spokane 2025
3178,Double Fish,Butterfly,WTT Feeder Spokane II 2025
3191,Yinhe, Tibhar,WTT Feeder Gdansk 2025
3199,Yinhe,Stag,WTT Feeder Istanbul 2025
