eventId,documentCode,gameScores,resultsGameScores
2603,TTEMSINGLES-----------R64-000700----------,"11-4,11-5,12-10,11-6,0-0,0-0,0-0","11-4,11-5,12-10,11-6"
2603,TTEWSINGLES-----------R64-002400----------,"9-11,5-11,5-11,7-11,0-0,0-0,0-0","9-11,5-11,5-11,7-11"
2603,TTEWSINGLES-----------SFNL000200----------,"7-11,6-11,7-11,7-11,0-0,0-0,0-0","7-11,6-11,7-11,7-11"
2603,TTEWSINGLES-----------R128006200----------,"11-5,11-5,11-2,11-8,0-0,0-0,0-0","11-5,11-5,11-2,11-8"
2603,TTEWSINGLES-----------R64-002100----------,"11-4,9-11,11-7,11-4,14-12,0-0,0-0","11-4,9-11,11-7,11-4,14-12"
2603,TTEWSINGLES-----------8FNL000400----------,"11-13,6-11,8-11,6-11,0-0,0-0,0-0","11-13,6-11,8-11,6-11"
2603,TTEWSINGLES-----------R64-001400----------,"7-11,5-11,7-11,8-11,0-0,0-0,0-0","7-11,5-11,7-11,8-11"
2603,TTEWSINGLES-----------R64-003000----------,"11-9,13-11,11-6,11-6,0-0,0-0,0-0","11-9,13-11,11-6,11-6"
2603,TTEMSINGLES-----------SFNL000100----------,"12-10,16-14,7-11,11-7,10-12,11-8,0-0","12-10,16-14,7-11,11-7,10-12,11-8"
2603,TTEWSINGLES-----------R64-002500----------,"9-11,11-4,11-3,11-7,11-9,0-0,0-0","9-11,11-4,11-3,11-7,11-9"
2603,TTEWSINGLES-----------R64-000900----------,"11-9,11-5,11-8,11-7,0-0,0-0,0-0","11-9,11-5,11-8,11-7"
2603,TTEMSINGLES-----------R64-001600----------,"8-11,7-11,9-11,4-11,0-0,0-0,0-0","8-11,7-11,9-11,4-11"
2603,TTEMSINGLES-----------R32-000800----------,"11-7,11-13,9-11,11-8,3-11,5-11,0-0","11-7,11-13,9-11,11-8,3-11,5-11"
2603,TTEMSINGLES-----------R64-002100----------,"8-11,11-4,11-8,13-11,3-11,11-7,0-0","8-11,11-4,11-8,13-11,3-11,11-7"
2603,TTEWSINGLES-----------R64-000200----------,"10-12,3-11,7-11,11-9,12-10,6-11,0-0","10-12,3-11,7-11,11-9,12-10,6-11"
2603,TTEWSINGLES-----------R32-000900----------,"9-11,11-9,11-4,11-1,11-9,0-0,0-0","9-11,11-9,11-4,11-1,11-9"
2603,TTEWSINGLES-----------R32-000100----------,"11-5,11-1,13-11,11-4,0-0,0-0,0-0","11-5,11-1,13-11,11-4"
2603,TTEMSINGLES-----------R64-001300----------,"11-6,11-5,11-6,11-6,0-0,0-0,0-0","11-6,11-5,11-6,11-6"
2603,TTEWSINGLES-----------R64-002000----------,"8-11,4-11,11-13,10-12,0-0,0-0,0-0","8-11,4-11,11-13,10-12"
2603,TTEWSINGLES-----------FNL-000100----------,"11-4,7-11,4-11,11-9,9-11,6-11,0-0","11-4,7-11,4-11,11-9,9-11,6-11"
2603,TTEMSINGLES-----------R64-000900----------,"11-7,11-5,11-6,8-11,11-7,0-0,0-0","11-7,11-5,11-6,8-11,11-7"
2603,TTEWSINGLES-----------R32-001000----------,"11-8,11-7,9-11,8-11,11-8,11-8,0-0","11-8,11-7,9-11,8-11,11-8,11-8"
2603,TTEWSINGLES-----------R64-001600----------,"1-11,3-11,4-11,5-11,0-0,0-0,0-0","1-11,3-11,4-11,5-11"
2603,TTEWSINGLES-----------R64-002300----------,"7-11,7-11,7-11,10-12,0-0,0-0,0-0","7-11,7-11,7-11,10-12"
2603,TTEMSINGLES-----------8FNL000800----------,"4-11,7-11,10-12,7-11,0-0,0-0,0-0","4-11,7-11,10-12,7-11"
2603,TTEMSINGLES-----------R32-001300----------,"8-11,11-6,11-4,11-7,5-11,11-7,0-0","8-11,11-6,11-4,11-7,5-11,11-7"
2603,TTEWSINGLES-----------R64-003100----------,"11-7,9-11,14-12,11-9,11-6,0-0,0-0","11-7,9-11,14-12,11-9,11-6"
