,PageLink,EventName,EventType,EventTypeId,Country,City,ContinentCode,Subcontinent,StartDateTime,EndDateTime,Tags,EventCode,Comments,EventDateChangeId,EventId,FromStartDate,FromEndDate,ToStartDate,ToEndDate,ShowInCalendar,Type,Event_Tier_Name
127,,2023 ITTF World Table Tennis Championships Finals,WTTC,37,South Africa,Durban,africa,southern africa,2023-05-20T00:00:00,2023-05-28T00:00:00,,,,,2660,,,,,,,
129,,ITTF World Table Tennis Championships Finals Doha 2025,WTTC,37,Qatar,Doha,asia,west asia,2025-05-17T00:00:00,2025-05-25T00:00:00,,,,,3108,,,,,,,
135,,Tokyo 2020 Olympic Games,Olympic Games,38,Japan,Tokyo ,asia,east asia,2021-07-23T00:00:00,2021-08-08T00:00:00,,0.0,,,2345,,,,,,,
136,,Tokyo 2020 Olympic Games,Olympic Games,38,Japan,Tokyo ,asia,east asia,2021-07-23T00:00:00,2021-08-08T00:00:00,,0.0,,,2345,,,,,,,
137,,Tokyo 2020 Olympic Games,Olympic Games,38,Japan,Tokyo ,asia,east asia,2021-07-23T00:00:00,2021-08-08T00:00:00,,0.0,,,2345,,,,,,,
196,,Singapore Smash 2022,WTT Grand Smash,64,Singapore,Singapore,asia,south east asia,2022-03-07T00:00:00,2022-03-20T00:00:00,,,,,2536,,,,,,,WTT Series
197,,Singapore Smash 2023,WTT Grand Smash,64,Singapore,Singapore,asia,south east asia,2023-03-07T00:00:00,2023-03-19T00:00:00,,,,,2629,,,,,,,WTT Series
198,,Singapore Smash 2024,WTT Grand Smash,64,Singapore,Singapore,asia,south east asia,2024-03-07T00:00:00,2024-03-17T00:00:00,,,,,2904,,,,,,,WTT Series
199,,Saudi Smash 2024,WTT Grand Smash,64,Saudi Arabia,Jeddah,asia,west asia,2024-05-01T00:00:00,2024-05-11T00:00:00,,,,,2932,,,,,,,WTT Series
200,,China Smash 2024 Presented by Zhonghui Life,WTT Grand Smash,64,China,Beijing,asia,east asia,2024-09-26T00:00:00,2024-10-06T00:00:00,,,,,2942,,,,,,,WTT Series
201,,Singapore Smash 2025,WTT Grand Smash,64,Singapore,Singapore,asia,south east asia,2025-01-30T00:00:00,2025-02-09T00:00:00,,,,,3085,,,,,,,WTT Series
202,,United States Smash 2025,WTT Grand Smash,64,USA,Las Vegas,americas,northern america,2025-07-03T00:00:00,2025-07-13T00:00:00,,,,,3082,,,,,,,WTT Series
203,,Europe Smash - Sweden 2025,WTT Grand Smash,64,Sweden,Malmö,europe,northern europe,2025-08-14T00:00:00,2025-08-24T00:00:00,,,,,3128,,,,,,,WTT Series
204,,China Smash 2025 Presented by Beijing Shijingshan Culture & Tourism Group,WTT Grand Smash,64,China,Beijing,asia,east asia,2025-09-25T00:00:00,2025-10-05T00:00:00,,,,,3098,,,,,,,WTT Series
205,,WTT Champions European Summer Series 2022,WTT Champions,65,Hungary,Budapest,europe,eastern europe,2022-07-18T00:00:00,2022-07-23T00:00:00,,,,,2593,,,,,,,WTT Series
206,,WTT Champions Macao 2022 Presented by Galaxy Entertainment Group,WTT Champions,65,"Macao, China",Macao,asia,east asia,2022-10-19T00:00:00,2022-10-23T00:00:00,,,,,2619,,,,,,,WTT Series
207,,WTT Champions Xinxiang 2023 Presented by Industrial and Commercial Bank of China,WTT Champions,65,China,Xinxiang,asia,east asia,2023-04-09T00:00:00,2023-04-15T00:00:00,,,,,2737,,,,,,,WTT Series
208,,WTT Champions Macao 2023 Presented by Galaxy Entertainment Group,WTT Champions,65,"Macao, China",Macao,asia,east asia,2023-04-17T00:00:00,2023-04-23T00:00:00,,,,,2728,,,,,,,WTT Series
209,,WTT Champions Frankfurt 2023,WTT Champions,65,Germany,Frankfurt,europe,western europe,2023-10-29T00:00:00,2023-11-05T00:00:00,,,,,2705,,,,,,,WTT Series
210,,WTT Champions Incheon 2024 Presented by Shinhan Bank,WTT Champions,65,Korea Republic,Incheon,asia,east asia,2024-03-27T00:00:00,2024-03-31T00:00:00,,,,,2899,,,,,,,WTT Series
211,,WTT Champions Chongqing 2024 Presented by Changan,WTT Champions,65,China,Chongqing,asia,east asia,2024-05-30T00:00:00,2024-06-03T00:00:00,,,,,2941,,,,,,,WTT Series
212,,WTT Champions Macao 2024 Presented by Galaxy Entertainment Group,WTT Champions,65,"Macao, China",Macao,asia,east asia,2024-09-09T00:00:00,2024-09-15T00:00:00,,,,,2983,,,,,,,WTT Series
213,,WTT Champions Montpellier 2024,WTT Champions,65,France,Montpellier,europe,western europe,2024-10-22T00:00:00,2024-10-27T00:00:00,,,,,2940,,,,,,,WTT Series
214,,WTT Champions Frankfurt 2024,WTT Champions,65,Germany,Frankfurt,europe,western europe,2024-11-03T00:00:00,2024-11-10T00:00:00,,,,,2877,,,,,,,WTT Series
215,,WTT Champions Chongqing 2025 Presented by AITO,WTT Champions,65,China,Chongqing,asia,east asia,2025-03-11T00:00:00,2025-03-16T00:00:00,,,,,3086,,,,,,,WTT Series
216,,WTT Champions Incheon 2025,WTT Champions,65,Korea Republic,Incheon,asia,east asia,2025-04-01T00:00:00,2025-04-06T00:00:00,,,,,3087,,,,,,,WTT Series
217,,WTT Champions Yokohama 2025,WTT Champions,65,Japan,,asia,east asia,2025-08-07T00:00:00,2025-08-11T00:00:00,,,,,3094,,,,,,,WTT Series
218,,WTT Champions Macao 2025 Presented by Galaxy Entertainment Group,WTT Champions,65,"Macao, China",Macao,asia,east asia,2025-09-09T00:00:00,2025-09-14T00:00:00,,,,,3097,,,,,,,WTT Series
219,,WTT Champions Montpellier 2025,WTT Champions,65,France,Montpellier,europe,western europe,2025-10-28T00:00:00,2025-11-02T00:00:00,,,,,3099,,,,,,,WTT Series
220,,WTT Champions Frankfurt 2025,WTT Champions,65,Germany,Frankfurt,europe,western europe,2025-11-04T00:00:00,2025-11-09T00:00:00,,,,,3100,,,,,,,WTT Series
443,,WTT Finals Women Nagoya 2023,WTT Finals,75,Japan,Nagoya,asia,east asia,2023-12-15T00:00:00,2023-12-17T00:00:00,,,,,2776,,,,,,,WTT Series
444,,WTT Finals Men Doha 2023,WTT Finals,75,Qatar,Doha,asia,west asia,2024-01-03T00:00:00,2024-01-05T00:00:00,,,,,2866,,,,,,,WTT Series
445,,WTT Finals Fukuoka 2024,WTT Finals,75,Japan,Kitakyushu,asia,east asia,2024-11-20T00:00:00,2024-11-24T00:00:00,,,,,2947,,,,,,,WTT Series
446,,WTT Finals Hong Kong 2025,WTT Finals,75,"Hong Kong, China",,asia,east asia,2025-12-10T00:00:00,2025-12-14T00:00:00,,,,,3112,,,,,,,WTT Series
498,,WTT Feeder Düsseldorf,WTT Feeder,81,Germany,Düsseldorf,europe,western europe,2021-12-07T00:00:00,2021-12-10T00:00:00,,,,,2519,,,,,,,WTT Feeder Series
499,,WTT Feeder Düsseldorf I,WTT Feeder,81,Germany,Düsseldorf,europe,western europe,2022-01-12T00:00:00,2022-01-15T00:00:00,,,,,2521,,,,,,,WTT Feeder Series
500,,WTT Feeder Düsseldorf II,WTT Feeder,81,Germany,Düsseldorf,europe,western europe,2022-01-17T00:00:00,2022-01-20T00:00:00,,,,,2522,,,,,,,WTT Feeder Series
501,,WTT Feeder Doha 2022,WTT Feeder,81,Qatar,Doha,asia,west asia,2022-03-13T00:00:00,2022-03-17T00:00:00,,,,,2534,,,,,,,WTT Feeder Series
502,,WTT Feeder Fremont 2022,WTT Feeder,81,USA,Fremont,americas,northern america,2022-05-05T00:00:00,2022-05-08T00:00:00,,,,,2569,,,,,,,WTT Feeder Series
503,,WTT Feeder Westchester 2022,WTT Feeder,81,USA,Pleasantville,americas,northern america,2022-05-11T00:00:00,2022-05-15T00:00:00,,,,,2570,,,,,,,WTT Feeder Series
504,,WTT Feeder Otocec 2022 Presented by I Feel Slovenia,WTT Feeder,81,Slovenia,Otocec,europe,southern europe,2022-06-20T00:00:00,2022-06-26T00:00:00,,,,,2540,,,,,,,WTT Feeder Series
505,,WTT Feeder European Summer Series 2022,WTT Feeder,81,Hungary,Budapest,europe,eastern europe,2022-07-18T00:00:00,2022-07-22T00:00:00,,,,,2592,,,,,,,WTT Feeder Series
506,,WTT Feeder Olomouc 2022,WTT Feeder,81,Czechia,Olomouc,europe,eastern europe,2022-08-23T00:00:00,2022-08-28T00:00:00,,,,,2541,,,,,,,WTT Feeder Series
507,,WTT Feeder Panagyurishte Presented by Asarel,WTT Feeder,81,Bulgaria,Panagyurishte,europe,eastern europe,2022-08-30T00:00:00,2022-09-04T00:00:00,,,,,2542,,,,,,,WTT Feeder Series
508,,WTT Feeder Düsseldorf III 2022,WTT Feeder,81,Germany,Düsseldorf,europe,western europe,2022-11-22T00:00:00,2022-11-25T00:00:00,,,,,2658,,,,,,,WTT Feeder Series
509,,WTT Feeder Fort Lauderdale 2022,WTT Feeder,81,USA,Fort Lauderdale,americas,northern america,2022-12-11T00:00:00,2022-12-14T00:00:00,,,,,2630,,,,,,,WTT Feeder Series
510,,WTT Feeder Doha 2023,WTT Feeder,81,Qatar,Doha,asia,west asia,2023-01-22T00:00:00,2023-01-26T00:00:00,,,,,2701,,,,,,,WTT Feeder Series
511,,WTT Feeder Amman 2023,WTT Feeder,81,Jordan,Amman,asia,west asia,2023-02-01T00:00:00,2023-02-04T00:00:00,,,,,2700,,,,,,,WTT Feeder Series
512,,WTT Feeder Düsseldorf 2023,WTT Feeder,81,Germany,Düsseldorf,europe,western europe,2023-02-14T00:00:00,2023-02-17T00:00:00,,,,,2702,,,,,,,WTT Feeder Series
513,,WTT Feeder Düsseldorf II 2023,WTT Feeder,81,Germany,Düsseldorf,europe,western europe,2023-02-21T00:00:00,2023-02-24T00:00:00,,,,,2703,,,,,,,WTT Feeder Series
514,,WTT Feeder Antalya 2023,WTT Feeder,81,Türkiye,Antalya,europe,southern europe,2023-03-27T00:00:00,2023-04-01T00:00:00,,,,,2704,,,,,,,WTT Feeder Series
515,,WTT Feeder Havirov 2023,WTT Feeder,81,Czechia,Havirov,europe,eastern europe,2023-07-27T00:00:00,2023-07-30T00:00:00,,,,,2750,,,,,,,WTT Feeder Series
516,,WTT Feeder Olomouc 2023,WTT Feeder,81,Czechia,Olomouc,europe,eastern europe,2023-08-22T00:00:00,2023-08-27T00:00:00,,,,,2724,,,,,,,WTT Feeder Series
517,,WTT Feeder Panagyurishte 2023 presented by ASAREL ,WTT Feeder,81,Bulgaria,Panagyurishte,europe,eastern europe,2023-08-29T00:00:00,2023-09-03T00:00:00,,,,,2723,,,,,,,WTT Feeder Series
518,,WTT Feeder Bangkok 2023,WTT Feeder,81,Thailand,Bangkok,asia,south east asia,2023-09-04T00:00:00,2023-09-09T00:00:00,,,,,2740,,,,,,,WTT Feeder Series
519,,WTT Feeder Stockholm 2023,WTT Feeder,81,Sweden,Stockhom,europe,northern europe,2023-10-02T00:00:00,2023-10-07T00:00:00,,,,,2738,,,,,,,WTT Feeder Series
520,,WTT Feeder Doha II 2023,WTT Feeder,81,Qatar,Doha,asia,west asia,2023-10-17T00:00:00,2023-10-19T00:00:00,,5507.0,,,2734,,,,,,,WTT Feeder Series
521,,WTT Feeder Otocec 2023 presented by I Feel Slovenia,WTT Feeder,81,Slovenia,Otocec,europe,southern europe,2023-10-30T00:00:00,2023-11-05T00:00:00,,,,,2733,,,,,,,WTT Feeder Series
522,,WTT Feeder Vila Nova de Gaia 2023,WTT Feeder,81,Portugal,Vila Nova de Gaia,europe,southern europe,2023-11-22T00:00:00,2023-11-25T00:00:00,,,,,2735,,,,,,,WTT Feeder Series
523,,WTT Feeder Düsseldorf III 2023,WTT Feeder,81,Germany,Düsseldorf,europe,western europe,2023-11-27T00:00:00,2023-12-01T00:00:00,,5513.0,,,2755,,,,,,,WTT Feeder Series
524,,WTT Feeder Biella 2023,WTT Feeder,81,Italy,Biella,europe,southern europe,2023-12-12T00:00:00,2023-12-17T00:00:00,,,,,2732,,,,,,,WTT Feeder Series
525,,WTT Feeder Corpus Christi 2024,WTT Feeder,81,USA,Corpus Christi,americas,northern america,2024-01-15T00:00:00,2024-01-18T00:00:00,,,,,2878,,,,,,,WTT Feeder Series
526,,WTT Feeder Manchester 2024,WTT Feeder,81,England,Manchester,europe,northern europe,2024-02-01T00:00:00,2024-02-04T00:00:00,,,,,2879,,,,,,,WTT Feeder Series
527,,WTT Feeder Beirut 2024,WTT Feeder,81,Lebanon,Beirut,asia,west asia,2024-03-19T00:00:00,2024-03-21T00:00:00,,,,,2893,,,,,,,WTT Feeder Series
528,,WTT Feeder Beirut II 2024,WTT Feeder,81,Lebanon,Beirut,asia,west asia,2024-03-22T00:00:00,2024-03-24T00:00:00,,,,,2894,,,,,,,WTT Feeder Series
529,,WTT Feeder Otocec 2024 Presented by I Feel Slovenia,WTT Feeder,81,Slovenia,Otocec,europe,southern europe,2024-03-26T00:00:00,2024-04-01T00:00:00,,,,,2880,,,,,,,WTT Feeder Series
530,,WTT Feeder Varazdin 2024,WTT Feeder,81,Croatia,Varaždin,europe,southern europe,2024-04-02T00:00:00,2024-04-07T00:00:00,,,,,2882,,,,,,,WTT Feeder Series
531,,WTT Feeder Düsseldorf 2024,WTT Feeder,81,Germany,Düsseldorf,europe,western europe,2024-04-08T00:00:00,2024-04-12T00:00:00,,,,,2881,,,,,,,WTT Feeder Series
532,,WTT Feeder Havirov 2024,WTT Feeder,81,Czechia,Havirov,europe,eastern europe,2024-04-14T00:00:00,2024-04-17T00:00:00,,,,,2883,,,,,,,WTT Feeder Series
533,,WTT Feeder Cappadocia 2024,WTT Feeder,81,Türkiye,Cappadocia - Nevsehir,europe,southern europe,2024-05-13T00:00:00,2024-05-17T00:00:00,,,,,2911,,,,,,,WTT Feeder Series
534,,WTT Feeder Olomouc 2024,WTT Feeder,81,Czechia,Olomouc,europe,eastern europe,2024-08-21T00:00:00,2024-08-25T00:00:00,,,,,2884,,,,,,,WTT Feeder Series
535,,WTT Feeder Muscat 2024,WTT Feeder,81,Oman,Muscat,asia,west asia,2024-08-29T00:00:00,2024-09-01T00:00:00,,,,,2965,,,,,,,WTT Feeder Series
536,,WTT Feeder Panagyurishte 2024 Presented by Asarel,WTT Feeder,81,Bulgaria,Panagyurishte,europe,eastern europe,2024-09-11T00:00:00,2024-09-15T00:00:00,,,,,2885,,,,,,,WTT Feeder Series
537,,WTT Feeder Halmstad 2024,WTT Feeder,81,Sweden,Halmstad,europe,northern europe,2024-09-16T00:00:00,2024-09-21T00:00:00,,,,,2886,,,,,,,WTT Feeder Series
538,,WTT Feeder Doha 2024,WTT Feeder,81,Qatar,Doha,asia,west asia,2024-10-03T00:00:00,2024-10-06T00:00:00,,,,,2887,,,,,,,WTT Feeder Series
539,,WTT Feeder Cagliari 2024,WTT Feeder,81,Italy,Cagliari,europe,southern europe,2024-10-22T00:00:00,2024-10-27T00:00:00,,,,,2889,,,,,,,WTT Feeder Series
540,,WTT Feeder Prishtina 2024,WTT Feeder,81,Kosovo,Pristina,europe,southern europe,2024-10-30T00:00:00,2024-11-01T00:00:00,,,,,2964,,,,,,,WTT Feeder Series
541,,WTT Feeder Caracas 2024,WTT Feeder,81,Venezuela,Caracas,americas,south america,2024-10-31T00:00:00,2024-11-03T00:00:00,,,,,2912,,,,,,,WTT Feeder Series
542,,WTT Feeder Düsseldorf II 2024,WTT Feeder,81,Germany,Düsseldorf,europe,western europe,2024-11-18T00:00:00,2024-11-22T00:00:00,,,,,2890,,,,,,,WTT Feeder Series
543,,WTT Feeder Vila Nova de Gaia 2024,WTT Feeder,81,Portugal,Vila Nova de Gaia,europe,southern europe,2024-11-23T00:00:00,2024-11-27T00:00:00,,,,,2891,,,,,,,WTT Feeder Series
544,,WTT Feeder Doha 2025,WTT Feeder,81,Qatar,Doha,asia,west asia,2025-02-04T00:00:00,2025-02-08T00:00:00,,,,,3026,,,,,,,WTT Feeder Series
