playerId,TotalWins (Overall),TotalLosses (Overall),TotalMatches (Overall),WinRate (Overall)
102832,76,51,127,59.84
116620,98,66,164,59.76
118927,89,60,149,59.73
116853,77,52,129,59.69
123972,25,17,42,59.52
113676,19,13,32,59.38
116641,16,11,27,59.26
135073,13,9,22,59.09
122002,65,45,110,59.09
200413,66,46,112,58.93
117003,40,28,68,58.82
112868,60,42,102,58.82
121514,102,72,174,58.62
132892,17,12,29,58.62
134246,24,17,41,58.54
132171,7,5,12,58.33
203472,7,5,12,58.33
145743,7,5,12,58.33
122193,7,5,12,58.33
109946,70,50,120,58.33
132696,14,10,24,58.33
134317,25,18,43,58.14
103107,25,18,43,58.14
121031,36,26,62,58.06
116160,18,13,31,58.06
122777,62,45,107,57.94
124165,44,32,76,57.89
108955,11,8,19,57.89
110797,77,56,133,57.89
106788,11,8,19,57.89
115029,70,51,121,57.85
135886,15,11,26,57.69
123300,75,56,131,57.25
106995,8,6,14,57.14
122716,12,9,21,57.14
135373,16,12,28,57.14
105111,8,6,14,57.14
144862,24,18,42,57.14
135076,8,6,14,57.14
135019,32,24,56,57.14
117350,4,3,7,57.14
108289,4,3,7,57.14
145454,4,3,7,57.14
120845,40,30,70,57.14
137731,12,9,21,57.14
133033,4,3,7,57.14
121577,4,3,7,57.14
124049,4,3,7,57.14
136399,4,3,7,57.14
144490,4,3,7,57.14
137193,20,15,35,57.14
111066,66,50,116,56.9
113711,21,16,37,56.76
110726,51,39,90,56.67
135091,13,10,23,56.52
107321,48,37,85,56.47
106706,49,38,87,56.32
117357,63,49,112,56.25
133367,9,7,16,56.25
133827,18,14,32,56.25
112074,55,43,98,56.12
122727,60,47,107,56.07
131401,51,40,91,56.04
112062,80,63,143,55.94
115009,76,60,136,55.88
112092,77,61,138,55.8
137627,54,43,97,55.67
112409,59,47,106,55.66
115396,69,55,124,55.65
111881,5,4,9,55.56
206252,10,8,18,55.56
121883,5,4,9,55.56
136424,5,4,9,55.56
124162,65,52,117,55.56
116612,50,40,90,55.56
133758,10,8,18,55.56
114848,71,57,128,55.47
123019,26,21,47,55.32
122718,74,60,134,55.22
102486,32,26,58,55.17
117890,59,48,107,55.14
132701,22,18,40,55.0
121693,22,18,40,55.0
119676,11,9,20,55.0
117463,66,54,120,55.0
132715,28,23,51,54.9
104760,28,23,51,54.9
101648,23,19,42,54.76
135367,52,43,95,54.74
119565,64,53,117,54.7
124584,35,29,64,54.69
113944,35,29,64,54.69
116021,41,34,75,54.67
133867,41,34,75,54.67
117002,47,39,86,54.65
120857,36,30,66,54.55
118685,6,5,11,54.55
119089,30,25,55,54.55
133342,6,5,11,54.55
131465,6,5,11,54.55
114247,18,15,33,54.55
135981,6,5,11,54.55
132389,6,5,11,54.55
123976,12,10,22,54.55
121884,6,5,11,54.55
120872,6,5,11,54.55
108742,12,10,22,54.55
112580,6,5,11,54.55
118762,37,31,68,54.41
120287,37,31,68,54.41
122428,57,48,105,54.29
101820,58,49,107,54.21
100696,60,51,111,54.05
119022,27,23,50,54.0
106814,55,47,102,53.92
104379,62,53,115,53.91
136984,7,6,13,53.85
114706,42,36,78,53.85
131480,42,36,78,53.85
123519,28,24,52,53.85
131879,63,54,117,53.85
113931,28,24,52,53.85
135362,7,6,13,53.85
143586,14,12,26,53.85
118851,51,44,95,53.68
123682,73,63,136,53.68
132172,22,19,41,53.66
123293,67,58,125,53.6
201032,15,13,28,53.57
104036,55,48,103,53.4
102712,8,7,15,53.33
118777,64,56,120,53.33
201160,8,7,15,53.33
144473,8,7,15,53.33
116532,64,56,120,53.33
124156,8,7,15,53.33
111012,65,57,122,53.28
131342,65,57,122,53.28
133652,33,29,62,53.23
108470,51,45,96,53.12
116152,43,38,81,53.09
120972,52,46,98,53.06
113701,35,31,66,53.03
121074,44,39,83,53.01
135501,44,39,83,53.01
132824,63,56,119,52.94
121722,9,8,17,52.94
135021,9,8,17,52.94
133633,9,8,17,52.94
131966,9,8,17,52.94
111641,73,65,138,52.9
120224,46,41,87,52.87
203618,10,9,19,52.63
131395,50,45,95,52.63
115789,10,9,19,52.63
120074,51,46,97,52.58
103126,63,57,120,52.5
118994,53,48,101,52.48
135493,32,29,61,52.46
122001,22,20,42,52.38
123659,55,50,105,52.38
105159,34,31,65,52.31
112221,58,53,111,52.25
119285,64,59,123,52.03
116213,14,13,27,51.85
112035,28,26,54,51.85
114726,45,42,87,51.72
117373,15,14,29,51.72
111849,50,47,97,51.55
124572,51,48,99,51.52
132022,52,49,101,51.49
105779,54,51,105,51.43
120698,18,17,35,51.43
113300,56,53,109,51.38
133814,75,71,146,51.37
121623,59,56,115,51.3
102863,40,38,78,51.28
115454,62,59,121,51.24
131100,63,60,123,51.22
120267,21,20,41,51.22
117865,21,20,41,51.22
107445,63,60,123,51.22
103345,42,40,82,51.22
134169,23,22,45,51.11
121869,26,25,51,50.98
119092,26,25,51,50.98
115546,53,51,104,50.96
123505,57,55,112,50.89
131671,31,30,61,50.82
135023,32,31,63,50.79
106296,38,37,75,50.67
131484,42,41,83,50.6
133593,42,41,83,50.6
111656,51,50,101,50.5
137894,53,52,105,50.48
111050,64,63,127,50.39
113235,3,3,6,50.0
105604,3,3,6,50.0
137713,3,3,6,50.0
135092,2,2,4,50.0
131477,3,3,6,50.0
105603,2,2,4,50.0
131249,3,3,6,50.0
131141,6,6,12,50.0
205717,3,3,6,50.0
137300,3,3,6,50.0
103903,46,46,92,50.0
145043,3,3,6,50.0
136137,6,6,12,50.0
131744,3,3,6,50.0
112451,3,3,6,50.0
119694,6,6,12,50.0
114143,3,3,6,50.0
134798,3,3,6,50.0
145172,3,3,6,50.0
136521,3,3,6,50.0
133953,4,4,8,50.0
101545,4,4,8,50.0
119537,43,43,86,50.0
200748,1,1,2,50.0
132875,2,2,4,50.0
101276,2,2,4,50.0
204509,2,2,4,50.0
115019,2,2,4,50.0
131788,2,2,4,50.0
113473,2,2,4,50.0
136710,2,2,4,50.0
200182,2,2,4,50.0
137314,1,1,2,50.0
209002,2,2,4,50.0
132026,4,4,8,50.0
121250,6,6,12,50.0
202868,2,2,4,50.0
108824,2,2,4,50.0
202862,2,2,4,50.0
137055,3,3,6,50.0
136947,1,1,2,50.0
204051,1,1,2,50.0
120979,1,1,2,50.0
120790,1,1,2,50.0
121565,6,6,12,50.0
135954,6,6,12,50.0
115357,1,1,2,50.0
133650,1,1,2,50.0
105109,1,1,2,50.0
124064,1,1,2,50.0
200362,1,1,2,50.0
115438,1,1,2,50.0
133406,2,2,4,50.0
122586,5,5,10,50.0
112121,5,5,10,50.0
145391,2,2,4,50.0
122688,2,2,4,50.0
136908,2,2,4,50.0
100089,2,2,4,50.0
119546,4,4,8,50.0
110837,4,4,8,50.0
116702,2,2,4,50.0
137003,4,4,8,50.0
119020,2,2,4,50.0
121278,2,2,4,50.0
211031,2,2,4,50.0
108875,2,2,4,50.0
137007,4,4,8,50.0
110190,2,2,4,50.0
210319,2,2,4,50.0
134910,2,2,4,50.0
135948,2,2,4,50.0
134904,2,2,4,50.0
144271,2,2,4,50.0
120777,2,2,4,50.0
206050,2,2,4,50.0
202970,5,5,10,50.0
131784,5,5,10,50.0
200225,2,2,4,50.0
144522,2,2,4,50.0
133717,2,2,4,50.0
135991,2,2,4,50.0
146227,2,2,4,50.0
132351,2,2,4,50.0
201874,2,2,4,50.0
114027,2,2,4,50.0
113392,2,2,4,50.0
120719,2,2,4,50.0
206562,2,2,4,50.0
203308,4,4,8,50.0
