playerId,TotalWins (Overall),TotalLosses (Overall),TotalMatches (Overall),MatchWinRate (Overall),TotalSetsWon (Overall),TotalSetsLost (Overall),TotalSetsPlayed (Overall),SetWinRate (Overall),TotalPointsWon (Overall),TotalPointsLost (Overall),TotalPointsPlayed (Overall),PointWinRate (Overall)
212314,0,1,1,0.0,0,3,3,0.0,25,36,61,40.98
212495,3,2,5,60.0,12,7,19,63.16,186,160,346,53.76
212581,1,2,3,33.33,6,6,12,50.0,122,113,235,51.91
212623,1,3,4,25.0,3,9,12,25.0,60,116,176,34.09
212660,0,1,1,0.0,2,3,5,40.0,52,52,104,50.0
212845,0,1,1,0.0,0,3,3,0.0,11,33,44,25.0
212898,1,2,3,33.33,3,6,9,33.33,73,78,151,48.34
213145,0,1,1,0.0,1,3,4,25.0,31,45,76,40.79
213185,0,1,1,0.0,0,3,3,0.0,24,34,58,41.38
213217,0,1,1,0.0,1,3,4,25.0,27,43,70,38.57
